student_id,grade,track,city_tier,parent_involvement,plan_type,monthly_fee_try,enrollment_date,tenure_months,program_adherence_rate,weekly_study_hours_planned,weekly_study_hours_actual,mentor_contact_freq_per_month,days_since_last_contact,message_response_time_hours,late_response_count_30d,trial_exam_count_total,trial_exam_avg_net,trial_exam_score_trend,missed_trial_exam_count,payment_delay_days_avg,support_ticket_count_90d,satisfaction_survey_score,days_to_next_exam,weekly_study_hours_actual_missing,satisfaction_missing
STU300001,Mezun,Sayısal,Tier 2,Orta,Yıllık,17328.88,2025-04-10,16.6,0.66,12.57,6.83,2.5,1,18.42,5,28,51.82,-2.05,1,3.13,1,3.56,298,0,0
STU300002,11. Sınıf,Eşit Ağırlık,Tier 2,Orta,3 Aylık,4554.9,2026-07-16,1.4,0.76,15.42,12.77,2.81,0,33.38,3,1,46.28,1.29,1,0.0,0,3.09,664,0,1
STU300003,12. Sınıf,Sayısal,Tier 2,Düşük,Aylık,1805.18,2026-01-12,7.5,0.82,17.4,13.43,4.96,8,28.41,1,10,77.29,-2.58,0,3.77,0,4.58,299,0,0
STU300004,11. Sınıf,Eşit Ağırlık,Tier 2,Orta,3 Aylık,4287.23,2026-07-01,1.9,0.64,15.61,8.58,4.84,11,20.58,1,7,38.83,-2.77,0,2.45,3,3.62,664,0,1
STU300005,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Orta,Yıllık,17160.89,2026-01-30,6.9,0.96,13.77,13.21,6.45,9,3.36,2,15,56.35,-2.58,0,2.33,1,4.92,300,0,0
STU300006,Mezun,Sözel,Tier 1 (Büyükşehir),Düşük,Aylık,1676.77,2026-04-10,4.6,0.71,16.6,12.31,2.6,40,15.34,1,8,60.93,-2.49,2,1.12,3,4.75,302,0,0
STU300007,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Orta,Yıllık,16212.01,2026-02-14,6.4,0.69,19.83,11.82,5.09,30,24.39,2,11,48.71,-0.27,0,0.67,2,2.74,303,0,0
STU300008,Mezun,Sayısal,Tier 2,Orta,3 Aylık,5012.83,2026-01-30,6.9,0.58,13.03,7.1,6.21,2,12.04,0,14,45.36,-3.06,1,0.84,2,2.58,298,0,0
STU300009,12. Sınıf,Sayısal,Tier 3,Orta,Aylık,1856.27,2026-05-07,3.7,0.94,11.72,14.2,4.44,3,5.13,1,7,32.29,0.59,0,5.68,6,3.7,299,0,1
STU300010,12. Sınıf,Eşit Ağırlık,Tier 2,Orta,Aylık,1680.43,2026-04-19,4.3,0.69,13.96,9.75,4.49,3,24.87,2,8,39.8,1.55,1,1.13,1,3.99,298,0,0
STU300011,11. Sınıf,Sayısal,Tier 1 (Büyükşehir),Yüksek,Yıllık,17146.95,2026-03-29,5.0,0.73,10.87,10.24,6.36,10,4.74,1,7,44.15,3.43,2,2.52,0,4.06,661,0,0
STU300012,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Düşük,3 Aylık,4654.59,2025-04-04,16.8,0.53,16.09,7.22,3.78,5,38.17,2,35,51.42,1.09,3,0.32,2,3.47,302,0,0
STU300013,Mezun,Eşit Ağırlık,Tier 3,Düşük,Aylık,1951.04,2025-12-12,8.5,0.83,16.61,9.37,5.74,11,7.08,0,18,67.7,3.64,2,4.95,2,3.48,297,1,0
STU300014,12. Sınıf,Eşit Ağırlık,Tier 2,Yüksek,3 Aylık,5213.29,2026-04-16,4.4,0.69,15.44,7.85,5.01,2,21.67,2,8,67.26,4.5,3,1.4,1,4.0,297,0,0
STU300015,Mezun,Sayısal,Tier 2,Yüksek,Aylık,1721.76,2026-06-16,2.4,0.7,16.4,8.84,6.81,2,14.39,0,4,65.68,2.57,0,2.61,1,3.43,298,0,0
STU300016,12. Sınıf,Sayısal,Tier 3,Orta,3 Aylık,5085.47,2026-07-07,1.7,0.59,12.65,5.94,2.88,15,19.83,1,4,56.24,-3.49,3,6.38,2,3.84,302,0,0
STU300017,11. Sınıf,Sayısal,Tier 3,Orta,3 Aylık,5040.09,2026-06-01,2.9,0.78,8.37,5.63,3.8,16,9.95,0,4,67.12,0.18,3,2.26,2,3.71,661,0,1
STU300018,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Orta,Aylık,1894.25,2026-05-13,3.5,0.7,21.89,12.46,4.48,54,5.7,2,7,63.97,-1.01,2,0.81,0,4.21,300,0,0
STU300019,11. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Yüksek,Yıllık,17461.83,2026-07-13,1.5,0.99,9.55,8.76,4.34,11,7.75,4,4,49.27,-2.7,1,12.92,0,2.77,661,1,0
STU300020,11. Sınıf,Eşit Ağırlık,Tier 2,Orta,Aylık,1832.18,2026-05-20,3.3,0.8,12.52,11.04,3.22,5,28.61,0,6,66.11,-1.2,0,15.02,1,3.43,668,0,1
