student_id,grade,track,city_tier,parent_involvement,plan_type,monthly_fee_try,enrollment_date,tenure_months,program_adherence_rate,weekly_study_hours_planned,weekly_study_hours_actual,mentor_contact_freq_per_month,days_since_last_contact,message_response_time_hours,late_response_count_30d,trial_exam_count_total,trial_exam_avg_net,trial_exam_score_trend,missed_trial_exam_count,payment_delay_days_avg,support_ticket_count_90d,satisfaction_survey_score,days_to_next_exam,churn,weekly_study_hours_actual_missing,satisfaction_missing
STU102105,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Yüksek,3 Aylık,4305.0,2026-07-13,1.4,0.422,17.5,8.0,5.2,2,44.4,2,2,48.8,-1.86,1,7.1,0,3.3,299,0,0,0
STU101033,Mezun,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,Aylık,1971.0,2026-05-31,2.8,0.567,18.6,11.0,3.6,8,12.8,2,5,51.0,-1.22,3,0.3,2,3.2,301,0,0,0
STU101069,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Yüksek,Yıllık,16516.0,2026-02-14,6.3,0.596,11.9,6.6,2.4,19,11.8,1,13,33.2,4.79,0,0.0,0,3.6,298,0,0,0
STU101463,12. Sınıf,Sayısal,Tier 2,Düşük,Yıllık,15782.0,2025-05-01,15.8,0.556,12.6,6.9,5.4,15,14.2,0,31,34.8,2.15,2,0.3,2,3.8,301,0,0,0
STU102169,12. Sınıf,Sözel,Tier 1 (Büyükşehir),Düşük,Aylık,1705.0,2025-10-18,10.2,0.711,12.5,8.0,0.6,5,54.4,2,20,39.6,0.81,1,1.1,0,5.0,303,0,0,0
STU103292,12. Sınıf,Eşit Ağırlık,Tier 2,Orta,Yıllık,16597.0,2026-03-10,5.5,0.682,13.3,7.3,4.6,1,35.9,4,13,59.9,-2.28,4,0.8,0,4.2,298,0,0,0
STU100891,Mezun,Sözel,Tier 1 (Büyükşehir),Düşük,Yıllık,15619.0,2026-02-26,5.9,0.724,10.4,7.6,4.5,18,6.4,1,14,29.0,0.16,4,12.5,0,4.3,303,1,0,0
STU102065,Mezun,Sayısal,Tier 1 (Büyükşehir),Orta,3 Aylık,4903.0,2025-08-03,12.7,0.738,14.6,11.0,4.7,19,14.3,2,26,40.3,0.57,1,0.4,1,3.5,302,0,0,1
STU101764,11. Sınıf,Sayısal,Tier 1 (Büyükşehir),Yüksek,Aylık,1798.0,2026-08-09,0.5,0.484,15.6,7.4,3.9,4,18.7,2,1,56.3,1.81,1,9.5,2,2.8,662,0,0,0
STU100906,12. Sınıf,Sözel,Tier 1 (Büyükşehir),Orta,3 Aylık,5185.0,2026-05-25,3.0,0.958,18.6,20.2,4.2,10,15.5,0,6,41.0,1.51,2,1.0,2,3.7,299,0,0,0
STU101392,11. Sınıf,Eşit Ağırlık,Tier 2,Düşük,Aylık,1768.0,2025-07-19,13.2,0.89,13.0,9.0,3.3,1,5.3,3,27,43.8,-1.16,0,0.8,0,3.2,668,0,1,0
STU103449,Mezun,Sözel,Tier 1 (Büyükşehir),Düşük,Aylık,1734.0,2026-04-10,4.5,0.684,14.8,8.4,5.0,12,10.8,6,12,58.2,1.9,2,3.2,0,3.6,299,1,0,1
STU100885,12. Sınıf,Sözel,Tier 1 (Büyükşehir),Düşük,Aylık,1839.0,2026-03-07,5.6,0.685,18.2,11.7,5.8,43,30.8,4,9,48.4,-0.9,3,6.4,2,2.6,301,1,0,0
STU100993,11. Sınıf,Sayısal,Tier 1 (Büyükşehir),Düşük,Yıllık,16473.0,2025-06-30,13.8,0.875,18.0,15.4,2.7,0,37.7,3,34,39.7,-2.99,1,3.4,3,3.0,664,1,0,0
STU103298,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,3 Aylık,4794.0,2025-06-30,13.8,0.644,8.4,5.6,4.3,1,17.4,3,34,24.5,-0.98,1,2.6,1,3.0,298,0,0,0
STU102053,Mezun,Sayısal,Tier 1 (Büyükşehir),Yüksek,3 Aylık,5199.0,2026-05-19,3.2,0.704,8.7,5.7,6.0,1,13.7,1,6,59.1,3.08,3,4.7,2,3.5,302,0,0,1
STU100159,Mezun,Sayısal,Tier 2,Orta,Aylık,1645.0,2026-05-16,3.3,0.57,9.1,5.5,6.6,4,29.7,3,7,58.0,1.43,1,6.1,3,4.1,301,1,0,0
STU101130,Mezun,Sayısal,Tier 3,Orta,3 Aylık,4703.0,2026-04-10,4.5,0.278,18.0,4.6,3.2,2,14.7,2,9,51.4,-0.84,0,2.9,1,3.6,303,0,0,0
STU100664,12. Sınıf,Eşit Ağırlık,Tier 2,Düşük,Aylık,1825.0,2025-12-30,7.8,0.67,10.7,7.0,2.5,3,5.9,2,13,52.7,1.92,3,10.3,2,3.6,298,0,0,0
STU100508,12. Sınıf,Sayısal,Tier 2,Düşük,3 Aylık,4781.0,2026-04-10,4.5,0.544,12.4,7.5,4.0,10,7.7,2,10,48.0,0.5,1,0.4,2,3.3,300,0,0,0
STU102643,Mezun,Eşit Ağırlık,Tier 1 (Büyükşehir),Düşük,Aylık,1771.0,2025-11-17,9.2,0.483,15.8,9.8,2.0,1,14.6,0,25,44.6,-3.54,1,18.7,0,2.5,299,1,0,0
STU101320,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Düşük,Aylık,1763.0,2026-06-22,2.1,0.659,10.3,7.3,3.2,3,38.8,3,5,52.1,-0.11,1,0.2,1,3.1,303,0,0,0
STU101593,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Orta,3 Aylık,5194.0,2026-02-08,6.5,0.408,10.1,4.1,3.3,6,41.0,3,14,38.8,3.29,0,0.0,2,3.5,297,1,0,1
STU101748,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Orta,3 Aylık,4714.0,2026-05-13,3.4,0.664,12.7,7.9,5.7,19,23.6,1,9,55.0,0.03,2,1.6,0,3.3,300,0,0,0
STU100102,11. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Yüksek,3 Aylık,5298.0,2026-05-01,3.8,0.544,19.0,11.9,5.9,3,57.5,1,7,62.7,2.87,1,3.9,1,3.5,668,0,0,0
STU100111,11. Sınıf,Sayısal,Tier 2,Orta,3 Aylık,5290.0,2026-07-31,0.8,0.756,12.7,9.7,3.6,17,52.8,1,2,34.4,-4.69,2,3.2,1,5.0,664,0,0,0
STU102937,11. Sınıf,Sayısal,Tier 1 (Büyükşehir),Orta,Aylık,1738.0,2026-04-25,4.0,0.444,12.8,6.2,3.3,5,23.4,2,9,36.8,-1.62,1,2.1,1,3.5,665,1,0,0
STU102020,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,Aylık,1717.0,2026-05-31,2.8,0.585,11.9,7.8,3.0,11,13.2,3,5,42.9,-0.58,3,0.7,2,2.9,303,1,0,0
STU101154,12. Sınıf,Sayısal,Tier 1 (Büyükşehir),Orta,3 Aylık,4986.0,2025-10-24,10.0,0.601,18.7,9.9,4.6,18,6.0,1,15,55.6,0.89,4,0.7,2,1.8,303,0,0,0
STU102527,Mezun,Sayısal,Tier 1 (Büyükşehir),Orta,Aylık,1655.0,2026-03-04,5.7,0.609,14.0,9.4,5.5,33,21.5,1,12,40.7,0.22,0,12.7,0,3.4,299,1,0,0
STU100411,12. Sınıf,Eşit Ağırlık,Tier 1 (Büyükşehir),Orta,3 Aylık,5351.0,2026-05-28,2.9,0.341,11.4,4.3,1.4,43,18.9,6,6,38.6,-1.09,1,0.2,2,3.5,301,1,0,0
